registeredid,classid,studentid,paid,complete,lettergrade,numbergrade
2282fd82-e460-11e9-8095-cff1fb1b32d9,900baa65-e45f-11e9-a42c-7b39cc259726,b36cd564-e3e0-11e9-9c98-13bd0e38ac22,t,f,,
228399c2-e460-11e9-8096-a7c86cb97bea,900baa66-e45f-11e9-a42d-bff310ce1b73,b36cfc74-e3e0-11e9-9c99-f7a592447aea,f,f,,
228435f8-e460-11e9-8097-8f3b3fcd8314,900c4698-e45f-11e9-a42e-63c289018f00,b36cfc75-e3e0-11e9-9c9a-bfa216085ae4,f,f,,
2284d22e-e460-11e9-8098-0f21af18165b,900c4699-e45f-11e9-a42f-5b180e4f21cd,b36d238e-e3e0-11e9-9c9b-4fa51586fbbc,t,f,,
22860a9a-e460-11e9-8099-7f31bce8b422,900c469a-e45f-11e9-a430-af3f3d74847f,b36d4a94-e3e0-11e9-9c9c-67998fdad2d7,t,f,,
2286a6d0-e460-11e9-809a-47445c227ada,900c469b-e45f-11e9-a431-dfdd378b3a14,b36d71a4-e3e0-11e9-9c9d-8ff408326f50,t,f,,
22874306-e460-11e9-809b-7bd7e689da20,900c469c-e45f-11e9-a432-4319765e611c,b36d98a0-e3e0-11e9-9c9e-ebf95ab5c43d,t,f,,
2287df32-e460-11e9-809c-1f8c8804cb0d,900ce2ce-e45f-11e9-a433-1b73319a3e91,b36dc014-e3e0-11e9-9c9f-7f77517e3b53,f,f,,
22887b54-e460-11e9-809d-03e4935f8bec,900ce2cf-e45f-11e9-a434-47b9f305fb9f,b36de710-e3e0-11e9-9ca0-f37e6abc7521,f,f,,
2289b3d4-e460-11e9-809e-c39c198861c7,900d7fa4-e45f-11e9-a435-cf9940fa1f7b,b36e0df8-e3e0-11e9-9ca1-13bda2a1d852,t,f,,
228a5000-e460-11e9-809f-736f785d2034,900e1bda-e45f-11e9-a436-f70ffa87b13d,b36e34e0-e3e0-11e9-9ca2-3f35df1fda03,t,f,,
228aec40-e460-11e9-80a0-6fa3ee90eab0,900eb810-e45f-11e9-a437-5baff4957cae,b36e34e1-e3e0-11e9-9ca3-c37a5844695f,t,f,,
228b8862-e460-11e9-80a1-7767d6642d4d,900f5446-e45f-11e9-a438-f357e75565ff,b36e5c2c-e3e0-11e9-9ca4-77298bfa7dfc,f,f,,
228cc0d8-e460-11e9-80a2-ef2534d1a9b2,900ff07c-e45f-11e9-a439-4b40f349702f,b36e833c-e3e0-11e9-9ca5-439e24576e4e,t,f,,
228d5d18-e460-11e9-80a3-5b56e4074465,900ff07d-e45f-11e9-a43a-dff482d6dc64,b36eaa42-e3e0-11e9-9ca6-df756a3740a7,f,f,,
228df944-e460-11e9-80a4-eb4e5485465a,900ff07e-e45f-11e9-a43b-f387703f702d,b36ed152-e3e0-11e9-9ca7-4b43fed8ec8d,f,f,,
228e9584-e460-11e9-80a5-bfd9469fe6b2,900ff07f-e45f-11e9-a43c-535b24003f86,b36ef862-e3e0-11e9-9ca8-9b6c2ef4040b,f,f,,
228f31b0-e460-11e9-80a6-576f03236b8c,90108b5e-e45f-11e9-a43d-7b075d9c650e,b36f1f5e-e3e0-11e9-9ca9-ffa613bf7971,f,f,,
228fce04-e460-11e9-80a7-ebcd5a3586a6,901128e8-e45f-11e9-a43e-2fe4f3c50c4f,b36f466e-e3e0-11e9-9caa-ef9c1f421083,f,f,,
22906a1c-e460-11e9-80a8-4b80dc5bf0ab,9011c51e-e45f-11e9-a43f-0365c6b3c77f,b36f6d74-e3e0-11e9-9cab-77fffe969366,f,f,,
2291a27e-e460-11e9-80a9-5f065ecc2633,90126154-e45f-11e9-a440-f7c8b02e5281,b36f9484-e3e0-11e9-9cac-b78a772384d8,f,f,,
22923eb4-e460-11e9-80aa-fff2c51addc8,9012fc7c-e45f-11e9-a441-f7fa623638e7,b36fbb8a-e3e0-11e9-9cad-7726bbf0d7e9,t,f,,
2292db30-e460-11e9-80ab-8f43b357af1c,9012fc7d-e45f-11e9-a442-eb31b7831526,b36fe290-e3e0-11e9-9cae-0319009272b4,f,f,,
2293772a-e460-11e9-80ac-1ff36ecb81c6,9012fc7e-e45f-11e9-a443-577c2abfb738,b37009a0-e3e0-11e9-9caf-7363ccee7534,t,f,,
22941356-e460-11e9-80ad-73860c6a4453,901398ee-e45f-11e9-a444-33662de2ded1,b370304c-e3e0-11e9-9cb0-1fd3d4623125,t,f,,
2294af8c-e460-11e9-80ae-d784b7b474f4,901435f6-e45f-11e9-a445-2bedc1974f5c,b370575c-e3e0-11e9-9cb1-db1110f66f9f,f,f,,
22954bd6-e460-11e9-80af-97e0f85e143c,9014d22c-e45f-11e9-a446-7f4cce0628c2,b370575d-e3e0-11e9-9cb2-3b937a3aa998,t,f,,
2295e820-e460-11e9-80b0-97a9c22dbb58,90156e62-e45f-11e9-a447-ff67de6fe3a7,b3707e62-e3e0-11e9-9cb3-9f02beb4b00a,f,f,,
22972064-e460-11e9-80b1-97a91a8f49fd,90160a8e-e45f-11e9-a448-5f6751c251bf,b370a572-e3e0-11e9-9cb4-4bb518719a9b,f,f,,
2297bca4-e460-11e9-80b2-abca387cee29,90160a8f-e45f-11e9-a449-53a5d5044be3,b370cc78-e3e0-11e9-9cb5-8b0857048254,t,f,,
229858d0-e460-11e9-80b3-37da336e5fe5,90160a90-e45f-11e9-a44a-bf778591ae9c,b370f3e2-e3e0-11e9-9cb6-9f1f1558e16d,f,f,,
2298f4fc-e460-11e9-80b4-43b6e3b984fe,9016a62e-e45f-11e9-a44b-972f51c13ac9,b3711a8e-e3e0-11e9-9cb7-8f9a2b027c93,t,f,,
22999150-e460-11e9-80b5-cfa85f3d9868,9016a62f-e45f-11e9-a44c-9b6801254b01,b37141f8-e3e0-11e9-9cb8-573ba9c1974b,f,f,,
229ac9c6-e460-11e9-80b6-872fb44dcdac,9016a630-e45f-11e9-a44d-77073064e776,b3716908-e3e0-11e9-9cb9-ef96a8d05e0f,t,f,,
229b6606-e460-11e9-80b7-6f2c9aa104ec,9016a631-e45f-11e9-a44e-1f426173404b,b3718fd2-e3e0-11e9-9cba-dfe03d8327fc,t,f,,
229c0246-e460-11e9-80b8-b76f12a599d4,901741a6-e45f-11e9-a44f-13ab96182f0a,b371b714-e3e0-11e9-9cbb-7fadbe222183,f,f,,
229c9e4a-e460-11e9-80b9-f388e6df2608,901741a7-e45f-11e9-a450-23c052c77f63,b371b715-e3e0-11e9-9cbc-7b80f6865e33,t,f,,
229dd6ca-e460-11e9-80ba-3bff3b31c516,901741a8-e45f-11e9-a451-4f149f715632,b371de1a-e3e0-11e9-9cbd-4356ba537fd0,f,f,,
229e7300-e460-11e9-80bb-7f8743118759,901741a9-e45f-11e9-a452-e7941ec0c90c,b372052a-e3e0-11e9-9cbe-a35f0bb24d43,t,f,,
229f0f2c-e460-11e9-80bc-43ddddc49bf6,9017de9a-e45f-11e9-a453-a37fa67847d0,b3722c3a-e3e0-11e9-9cbf-a355414c82ea,f,f,,
229fab80-e460-11e9-80bd-8be3e00b24d2,9017de9b-e45f-11e9-a454-db5780a99ff9,b3725340-e3e0-11e9-9cc0-6bc7cd281090,t,f,,
22a047ac-e460-11e9-80be-73195b12fde9,9017de9c-e45f-11e9-a455-d75821ab24d8,b37279ec-e3e0-11e9-9cc1-9779442afa23,f,f,,
22a1492c-e460-11e9-80bf-1fc8e197ab4d,9017de9d-e45f-11e9-a456-7b34a21a7c53,b372a0f2-e3e0-11e9-9cc2-a3ea058316bf,f,f,,
22a1e530-e460-11e9-80c0-470121dce8aa,9017de9e-e45f-11e9-a457-eb01cb77d678,b372c88e-e3e0-11e9-9cc3-577b58713547,f,f,,
22a2cf5e-e460-11e9-80c1-672e7dcdecf9,90187ad0-e45f-11e9-a458-174099550123,b372ef9e-e3e0-11e9-9cc4-876540d24234,f,f,,
22a2e322-e460-11e9-80c2-bf5068127bc1,90187ad1-e45f-11e9-a459-5f7a571d03f1,b372ef9f-e3e0-11e9-9cc5-33edc784439d,f,f,,
22a37f76-e460-11e9-80c3-7fefaecdef7c,90187ad2-e45f-11e9-a45a-b32f7802a69b,b373169a-e3e0-11e9-9cc6-c7e47a3daac3,f,f,,
22a4b800-e460-11e9-80c4-eb7d84673e0e,90187ad3-e45f-11e9-a45b-ebd3a890bb79,b3733daa-e3e0-11e9-9cc7-dbf8c9c8909b,f,f,,
22a553f0-e460-11e9-80c5-b7689e1805ed,90187ad4-e45f-11e9-a45c-8343a8955587,b3736424-e3e0-11e9-9cc8-335d2b01f1cd,f,f,,
22a5f080-e460-11e9-80c6-17a3a04456e3,90191706-e45f-11e9-a45d-0b58d34bf692,b3738b34-e3e0-11e9-9cc9-cbb77779f203,t,f,,
22a728c4-e460-11e9-80c7-47f412ccb80e,90191707-e45f-11e9-a45e-dbd7bc705afc,b373b23a-e3e0-11e9-9cca-d70602479dc5,t,f,,
22a7c522-e460-11e9-80c8-738cb7003834,90191708-e45f-11e9-a45f-5b07862472a8,b373d94a-e3e0-11e9-9ccb-fb8bf94acdab,f,f,,
22a86162-e460-11e9-80c9-535473da93c8,90191709-e45f-11e9-a460-37ed059bc40e,b3740046-e3e0-11e9-9ccc-9fe881a5bb6e,f,f,,
22a999b0-e460-11e9-80ca-c370b27ac105,9019b33c-e45f-11e9-a461-737e84ba3310,b374276a-e3e0-11e9-9ccd-7b1513f16afa,f,f,,
22aa35e6-e460-11e9-80cb-67f305937616,9019b33d-e45f-11e9-a462-4f6b6d325d8c,b3744eca-e3e0-11e9-9cce-afe873e2b242,f,f,,
22aad1cc-e460-11e9-80cc-930271525b0e,9019b33e-e45f-11e9-a463-27f37eb66f33,b3747576-e3e0-11e9-9ccf-dfa7dd9ab5b5,f,f,,
22ab6e02-e460-11e9-80cd-cbfe6a811a04,9019b33f-e45f-11e9-a464-1bec1306eb7e,b3749c72-e3e0-11e9-9cd0-6747160546e5,t,f,,
22aca66e-e460-11e9-80ce-835f69c9ad2b,9019b340-e45f-11e9-a465-0fa23e6007a8,b374c378-e3e0-11e9-9cd1-1f226fdb7c9d,f,f,,
22ad42ea-e460-11e9-80cf-73aefd85ad65,901a4f72-e45f-11e9-a466-af22f6f85532,b374c379-e3e0-11e9-9cd2-ef55e3c58aca,f,f,,
22addf02-e460-11e9-80d0-7fb67705a798,901a4f73-e45f-11e9-a467-f7826751f0d8,b374ea88-e3e0-11e9-9cd3-83b94c83a772,t,f,,
22af1764-e460-11e9-80d1-272bb12b02c6,901a4f74-e45f-11e9-a468-3f8dc9978b14,b3751198-e3e0-11e9-9cd4-1f96b6098fcd,t,f,,
22afb3a4-e460-11e9-80d2-fbf3976a5014,901a4f75-e45f-11e9-a469-97beb20a03d7,b375389e-e3e0-11e9-9cd5-03f18a0951ba,f,f,,
22b04fd0-e460-11e9-80d3-f77b558256d2,901aeb9e-e45f-11e9-a46a-73f3ffd49172,b3755fa4-e3e0-11e9-9cd6-2fbaa7b7cbe8,t,f,,
22b0ebfc-e460-11e9-80d4-d39bee7e50ef,901aeb9f-e45f-11e9-a46b-eb13ba8f7fff,b37586b4-e3e0-11e9-9cd7-739de5496e88,t,f,,
22b18828-e460-11e9-80d5-cb22fc9d3d79,901aeba0-e45f-11e9-a46c-2f7eca79c96a,b375adc4-e3e0-11e9-9cd8-47de18108dc6,f,f,,
22b2249a-e460-11e9-80d6-43a89756bfb1,901aeba1-e45f-11e9-a46d-234ade143378,b375adc5-e3e0-11e9-9cd9-375ea09396e2,t,f,,
22b2c0d0-e460-11e9-80d7-5f7e24c68571,901aeba2-e45f-11e9-a46e-2b45e2abfff5,b375d4ca-e3e0-11e9-9cda-c712bef51ea6,t,f,,
22b3f93c-e460-11e9-80d8-77d30ae29cf3,901b87d4-e45f-11e9-a46f-db6076d9afd6,b375fbda-e3e0-11e9-9cdb-d32f5f8c9df9,t,f,,
22b49590-e460-11e9-80d9-4b447ae9ffa0,901b87d5-e45f-11e9-a470-07c11ec326bc,b37622d6-e3e0-11e9-9cdc-671f923a657e,f,f,,
22b531bc-e460-11e9-80da-eb1f1c1fa98a,901b87d6-e45f-11e9-a471-e73194369177,b37649dc-e3e0-11e9-9cdd-6b50bb831b55,t,f,,
22b5cdf2-e460-11e9-80db-7bcca7b81c86,901b87d7-e45f-11e9-a472-23829ee79a89,b37670ec-e3e0-11e9-9cde-efb4e4cc80bc,f,f,,
22b70618-e460-11e9-80dc-1b36cc1ce154,901b87d8-e45f-11e9-a473-d34d440ff2e0,b37697f2-e3e0-11e9-9cdf-ebcdff9f4d2b,t,f,,
22b7a244-e460-11e9-80dd-8bb70236b280,901c2414-e45f-11e9-a474-0b27f88e4266,b376bf0c-e3e0-11e9-9ce0-2b21b6370c06,t,f,,
22b83e7a-e460-11e9-80de-7fff6ed86965,901c2415-e45f-11e9-a475-4b73b51f402a,b376e608-e3e0-11e9-9ce1-174695f9c031,f,f,,
22b976f0-e460-11e9-80df-47f3e367dc62,901c2416-e45f-11e9-a476-37fe2468de3a,b3770d2c-e3e0-11e9-9ce2-1f3c5edded9f,t,f,,
22ba1344-e460-11e9-80e0-fb2b621b9a9c,901c2417-e45f-11e9-a477-ff5a2329f2b7,b3773428-e3e0-11e9-9ce3-03b952b0de48,t,f,,
22baafac-e460-11e9-80e1-5fa8f1e739b4,901cc040-e45f-11e9-a478-6b8379b11ea6,b3775bec-e3e0-11e9-9ce4-cb7a0f83bdcf,t,f,,
22bbe804-e460-11e9-80e2-a7e4aaff60f5,901cc041-e45f-11e9-a479-9bf5804a2851,b377823e-e3e0-11e9-9ce5-df596ffec0d5,f,f,,
22bc83f4-e460-11e9-80e3-5f5ff390bd3d,901cc042-e45f-11e9-a47a-d7af31928528,b377a944-e3e0-11e9-9ce6-6707c0a7f2be,t,f,,
22bd2034-e460-11e9-80e4-fbfc11ea41cb,901cc043-e45f-11e9-a47b-ef7034b647e8,b377d04a-e3e0-11e9-9ce7-b3a48bff7351,t,f,,
22bdbc6a-e460-11e9-80e5-8b9253fe40d8,901cc044-e45f-11e9-a47c-eb31f37d621b,b377f750-e3e0-11e9-9ce8-e394930fe0ba,t,f,,
22bef4cc-e460-11e9-80e6-977cc8283dfd,901d5c80-e45f-11e9-a47d-833a0435ead5,b377f751-e3e0-11e9-9ce9-73ab56748cad,f,f,,
22bf9120-e460-11e9-80e7-d75d8cfe77b2,901d5c81-e45f-11e9-a47e-8be56fa2f544,b3781e60-e3e0-11e9-9cea-df4266272dfe,t,f,,
22c02d7e-e460-11e9-80e8-b7259d3a49ed,901d5c82-e45f-11e9-a47f-c3a047223d52,b3784566-e3e0-11e9-9ceb-776201052a81,f,f,,
22c165b8-e460-11e9-80e9-0b45ae3ffde7,901d5c83-e45f-11e9-a480-636707404308,b3786c6c-e3e0-11e9-9cec-f3191c6ae54e,f,f,,
22c201f8-e460-11e9-80ea-d316bb7ce04a,901d5c84-e45f-11e9-a481-e7b757df4b00,b378937c-e3e0-11e9-9ced-9361b6717929,t,f,,
22c29e1a-e460-11e9-80eb-b7f27d60e7c6,901df8ac-e45f-11e9-a482-fbfa5b82ec81,b378ba82-e3e0-11e9-9cee-df8a3b912713,t,f,,
22c3d67c-e460-11e9-80ec-7b5b67d770be,901df8ad-e45f-11e9-a483-8f17a6e02e83,b378e188-e3e0-11e9-9cef-9b9e43a13a23,t,f,,
22c472c6-e460-11e9-80ed-8fb4639c824e,901df8ae-e45f-11e9-a484-e37351c15cbf,b378e189-e3e0-11e9-9cf0-570b251316b2,f,f,,
22c50f1a-e460-11e9-80ee-17b0bfdbbbcd,901df8af-e45f-11e9-a485-338264712dff,b3790898-e3e0-11e9-9cf1-abb63c591c33,t,f,,
22c6477c-e460-11e9-80ef-5fdaca7c94d9,901e94ec-e45f-11e9-a486-0be791147c26,b3792f9e-e3e0-11e9-9cf2-e764e448deca,f,f,,
22c6e3a8-e460-11e9-80f0-936efcf333d3,901e94ed-e45f-11e9-a487-0b2adf3c7f80,b37956ae-e3e0-11e9-9cf3-c3bb78288e00,t,f,,
22c77fe8-e460-11e9-80f1-3774a7a85fd3,901e94ee-e45f-11e9-a488-330cd368c1d9,b3797db4-e3e0-11e9-9cf4-4767d45e17e8,f,f,,
22c8b84a-e460-11e9-80f2-2358b6f80547,901e94ef-e45f-11e9-a489-934b2ff89d85,b379a4c4-e3e0-11e9-9cf5-23ff3aad8fa7,f,f,,
22c95480-e460-11e9-80f3-c76a9a0fab43,901e94f0-e45f-11e9-a48a-676788ce920e,b379cbd4-e3e0-11e9-9cf6-dbb2e5edd2eb,f,f,,
22c9f0c0-e460-11e9-80f4-7f5f9011d815,901f3118-e45f-11e9-a48b-070a4550503e,b379f2da-e3e0-11e9-9cf7-bf90faaf3ae3,f,f,,
22ca8d0a-e460-11e9-80f5-c324dfa0432e,901f3119-e45f-11e9-a48c-d70cc3b75e26,b37a19ea-e3e0-11e9-9cf8-67275e77ac62,f,f,,
22cb2936-e460-11e9-80f6-eb4d26bb00b0,901f311a-e45f-11e9-a48d-876b1023f362,b37a40fa-e3e0-11e9-9cf9-dfc0fecfba00,f,f,,
22cbc562-e460-11e9-80f7-b765b7fffdb8,901f311b-e45f-11e9-a48e-23c3acd5df11,b37a6800-e3e0-11e9-9cfa-4f50c14e792e,f,f,,
22ccfda6-e460-11e9-80f8-4f87e49b2c38,901f311c-e45f-11e9-a48f-670e3961ad91,b37a8efc-e3e0-11e9-9cfb-27e37314cef4,f,f,,
22cd99dc-e460-11e9-80f9-c3b66fe2776f,901fcd4e-e45f-11e9-a490-d7e0ea16277f,b37ab60c-e3e0-11e9-9cfc-db85ef240620,t,f,,
22ced248-e460-11e9-80fa-27ab5c9b4b3e,901fcd4f-e45f-11e9-a491-33cb2dedf71c,b37ab60d-e3e0-11e9-9cfd-4fef5337ddd7,f,f,,
22cf6ea6-e460-11e9-80fb-a75ad518b884,901fcd50-e45f-11e9-a492-b311cdb2413f,b37add12-e3e0-11e9-9cfe-7386fc8512b9,f,f,,
22d00ac8-e460-11e9-80fc-970dcb43a1ec,901fcd51-e45f-11e9-a493-0f63b18aeede,b37b0418-e3e0-11e9-9cff-5f4655076390,f,f,,
22d1432a-e460-11e9-80fd-9bacf58cbec8,9020698e-e45f-11e9-a494-3f320cc46d60,b37b2b28-e3e0-11e9-9d00-3394ac33abfd,f,f,,
22d1df88-e460-11e9-80fe-e321305ea41a,9020698f-e45f-11e9-a495-7be136696039,b37b522e-e3e0-11e9-9d01-fb05cba164ab,t,f,,
22d27ba0-e460-11e9-80ff-83fa39650f10,90206990-e45f-11e9-a496-330cb01963f9,b37b793e-e3e0-11e9-9d02-9ba7b1023f24,t,f,,
22d3b42a-e460-11e9-8100-4bfcc9fef733,90206991-e45f-11e9-a497-7749b2adca71,b37ba044-e3e0-11e9-9d03-abb1edd5f237,f,f,,
22d45088-e460-11e9-8101-2f6e90ae379c,90206992-e45f-11e9-a498-930dc4000109,b37ba045-e3e0-11e9-9d04-4ffe949f0447,t,f,,
22d4ec6e-e460-11e9-8102-47829f3c8b7c,902105ba-e45f-11e9-a499-ebd2f59e3ad0,b37bc74a-e3e0-11e9-9d05-4752af124d89,f,f,,
22d588fe-e460-11e9-8103-4f3e3b6f9919,902105bb-e45f-11e9-a49a-efac55091eef,b37bee5a-e3e0-11e9-9d06-0f38dad11c3c,f,f,,
22d62516-e460-11e9-8104-b3c122e81cc0,9021a1a0-e45f-11e9-a49b-fb7599a1051d,b37c1560-e3e0-11e9-9d07-f7d359ceb55d,t,f,,
22d6c106-e460-11e9-8105-7f679cfaa8f7,90223dc2-e45f-11e9-a49c-fb45c670828d,b37c3c70-e3e0-11e9-9d08-8fd162e7a045,t,f,,
22d75d96-e460-11e9-8106-779c5f8c3750,9022db10-e45f-11e9-a49d-b74bc3674bce,b37c6376-e3e0-11e9-9d09-5fafc236cfe2,f,f,,
22d7f97c-e460-11e9-8107-ebfe3537b31f,9023773c-e45f-11e9-a49e-87c4e88f750d,b37c8a86-e3e0-11e9-9d0a-07e3663a4874,t,f,,
22d895d0-e460-11e9-8108-176b25ea263f,9024afa8-e45f-11e9-a49f-cba8d7deef4a,b37c8a87-e3e0-11e9-9d0b-c3cf3c0d3153,t,f,,
22d9ce64-e460-11e9-8109-fb7a79af58be,90254bde-e45f-11e9-a4a0-8b3aaf52d890,b37cb18c-e3e0-11e9-9d0c-576763d1c884,f,f,,
22da6a72-e460-11e9-810a-6bca3379bfbb,9025e814-e45f-11e9-a4a1-57b53b565178,b37cd89c-e3e0-11e9-9d0d-6b4c61d6ac97,f,f,,
22db0694-e460-11e9-810b-d3f924741e9e,90272080-e45f-11e9-a4a2-1f99cd38e963,b37cffac-e3e0-11e9-9d0e-0f502294dc74,t,f,,
22dba2de-e460-11e9-810c-536104952976,9027bcb6-e45f-11e9-a4a3-ef642b5c68f7,b37d26b2-e3e0-11e9-9d0f-4f5db69958ec,f,f,,
22dcdb5e-e460-11e9-810d-0fc922580139,9027bcb7-e45f-11e9-a4a4-9ff987f5016d,b37d4dc2-e3e0-11e9-9d10-1fcc4eac5fb3,f,f,,
22dd7776-e460-11e9-810e-d7765215af09,9027bcb8-e45f-11e9-a4a5-7f27fe49c528,b37d74c8-e3e0-11e9-9d11-c3551a0ceed8,t,f,,
22de13a2-e460-11e9-810f-b72415121f8b,9028581a-e45f-11e9-a4a6-bbbac1b5db81,b37d9bd8-e3e0-11e9-9d12-036e3e7fd1db,f,f,,
22df4c2c-e460-11e9-8110-dbaaf684d296,9028f3d8-e45f-11e9-a4a7-6f79b0fcb281,b37dc2de-e3e0-11e9-9d13-aba8d39c3759,f,f,,
22dfe966-e460-11e9-8111-9bc245529c32,90299158-e45f-11e9-a4a8-7ff0ab9d6b15,b37dc2df-e3e0-11e9-9d14-6b4dbf1480f4,f,f,,
22e0859c-e460-11e9-8112-03e8f7a9ac1a,902a2c4e-e45f-11e9-a4a9-8bc9224be6cb,b37de9e4-e3e0-11e9-9d15-a72fb20cb056,f,f,,
22e121c8-e460-11e9-8113-0b51fe383ac8,902ac9c4-e45f-11e9-a4aa-27a1b298c926,b37e10ea-e3e0-11e9-9d16-cbdaf25795b4,f,f,,
22e1bcd2-e460-11e9-8114-1b768d6563d0,902b64ba-e45f-11e9-a4ab-5fd6e05e1931,b37e37f0-e3e0-11e9-9d17-2fe97d605eb4,f,f,,
22e25a3e-e460-11e9-8115-cb17156332c6,902c9d30-e45f-11e9-a4ac-abb3106162e7,b37e5f00-e3e0-11e9-9d18-bf4087ded9aa,f,f,,
22e2f674-e460-11e9-8116-73128f2e46b7,902d3a9c-e45f-11e9-a4ad-d36ebfdcb61a,b37e8606-e3e0-11e9-9d19-8bbb3d36da32,t,f,,
22e42ed6-e460-11e9-8117-a30eb282bea8,902dd5a6-e45f-11e9-a4ae-d3bf86d0db82,b37ead16-e3e0-11e9-9d1a-6fc2714c44a4,t,f,,
22e4ca30-e460-11e9-8118-e764e5c35029,902e7308-e45f-11e9-a4af-9fba7c136f33,b37ead17-e3e0-11e9-9d1b-bf2a2276c30b,t,f,,
22e5674c-e460-11e9-8119-53fa3951a301,902f0f3e-e45f-11e9-a4b0-4b34a2bbc5ea,b37ed41c-e3e0-11e9-9d1c-47a3eb9bb3c9,t,f,,
22e6038c-e460-11e9-811a-471c986a6108,902faa34-e45f-11e9-a4b1-9ff9c72b7dd9,b37efb2c-e3e0-11e9-9d1d-d7d50b941d2f,t,f,,
22e73b08-e460-11e9-811b-2759f6e43af7,902faa35-e45f-11e9-a4b2-d7c240831a09,b37f2232-e3e0-11e9-9d1e-fff4354b214f,f,f,,
22e7d734-e460-11e9-811c-d30e76870a7a,902faa36-e45f-11e9-a4b3-7f9731ae9e0f,b37f4938-e3e0-11e9-9d1f-2b00db1f5f67,t,f,,
22e87374-e460-11e9-811d-ebd17ce42792,902faa37-e45f-11e9-a4b4-dbfa944e10a9,b37f7048-e3e0-11e9-9d20-774b1123dd5a,t,f,,
22e9abcc-e460-11e9-811e-27d6a8d9c056,903046d8-e45f-11e9-a4b5-d345cf64fcbe,b37f974e-e3e0-11e9-9d21-d361a47439ee,f,f,,
